"load_id","client_name","integration_id","load_code","delivery_date","locality_name","vehicle_name","dock","assembled_percentage","checked_percentage","loaded_percentage","load_status_name","load_weight","vehicle_weight_capacity","vehicle_weight_occupation","returnable_quantity_boxes","mix_quantity_boxes","quantity_boxes","returnable_assembler_quantity","mix_assembler_quantity","checker","checking_time","checker_under_count_error_quantity","checker_over_count_error_quantity","checker_total_error_quantity","checker_2","checking_time_2","checker_2_under_count_error_quantity","checker_2_over_count_error_quantity","checker_2_total_error_quantity","checker_3","checking_time_3","checker_3_under_count_error_quantity","checker_3_over_count_error_quantity","checker_3_total_error_quantity","loading_time","operation_time","created_at","updated_at","checking_time_total"
685,"1","1000219062",EYU3705,2026-08-11,CÂNDIDO MOTA,EYU3705,,100.0,100.0,100.0,Finalizado,4341.0,1000000.0,0.0,,540,525,0,0,CONFERENTE / SUPERVISOR ,19.47,0,0,0,,,,,,,,,,,4.26,7.68,2026-08-16 11:40:23.432 -0300,2026-08-16 11:40:23.432 -0300,19.47
471,"1","1000190132",EYU3703,2026-01-27,CÂNDIDO MOTA,EYU3703,,100.0,100.0,100.0,Finalizado,3620.4399999999996,1000000.0,0.0,,783,741,0,0,CONFERENTE / SUPERVISOR ,54.93,0,0,0,,,,,,,,,,,5.66,6.83,2026-08-16 11:40:23.432 -0300,2026-08-16 11:40:23.432 -0300,54.93
558,"1","1000191019",EYU3362,2026-02-04,CÂNDIDO MOTA,EYU3362,,100.0,100.0,100.0,Finalizado,7679.300000000004,1000000.0,1.0,,959,885,0,0,CONFERENTE / SUPERVISOR ,47.35,0,0,0,,,,,,,,,,,5.23,6.42,2026-08-16 11:40:23.432 -0300,2026-08-16 11:40:23.432 -0300,47.35
414,"1","1000189280",EYU3702,2026-01-22,CÂNDIDO MOTA,EYU3702,,100.0,100.0,100.0,Finalizado,3998.7399999999984,1000000.0,0.0,,982,833,0,0,CONFERENTE / SUPERVISOR ,13.22,0,0,0,,,,,,,,,,,5.32,9.30,2026-08-16 11:40:23.432 -0300,2026-08-16 11:40:23.432 -0300,13.22
410,"1","1000189048",FCX9994,2026-01-21,CÂNDIDO MOTA,FCX9994,,100.0,100.0,100.0,Finalizado,4701.639999999999,1000000.0,0.0,,860,782,0,0,CONFERENTE / SUPERVISOR ,9.47,0,0,0,,,,,,,,,,,4.74,4.10,2026-08-16 11:40:23.432 -0300,2026-08-16 11:40:23.432 -0300,9.47
575,"1","1000191873",EYU3370,2026-02-06,CÂNDIDO MOTA,EYU3370,,100.0,100.0,100.0,Finalizado,7870.120000000002,1000000.0,1.0,,828,805,0,0,CONFERENTE / SUPERVISOR ,24.75,0,0,0,,,,,,,,,,,2.77,3.33,2026-08-16 11:40:23.432 -0300,2026-08-16 11:40:23.432 -0300,24.75
610,"1","1000194381",EYU3371,2026-02-24,CÂNDIDO MOTA,EYU3371,,100.0,100.0,100.0,Finalizado,7721.160000000001,1000000.0,1.0,,793,745,0,0,CONFERENTE / SUPERVISOR ,17.65,0,0,0,,,,,,,,,,,3.10,5.65,2026-08-16 11:40:23.432 -0300,2026-08-16 11:40:23.432 -0300,17.65
613,"1","1000194379",EYU3361,2026-02-24,CÂNDIDO MOTA,EYU3361,,100.0,100.0,100.0,Finalizado,7771.410000000001,1000000.0,1.0,,960,915,0,0,CONFERENTE / SUPERVISOR ,51.90,0,0,0,,,,,,,,,,,3.99,5.65,2026-08-16 11:40:23.432 -0300,2026-08-16 11:40:23.432 -0300,51.9
411,"1","1000189050",CPJ1393,2026-01-21,CÂNDIDO MOTA,CPJ1393,,100.0,100.0,100.0,Finalizado,3963.2800000000007,1000000.0,0.0,,741,741,0,0,CONFERENTE / SUPERVISOR ,7.40,0,0,0,,,,,,,,,,,4.76,4.10,2026-08-16 11:40:23.432 -0300,2026-08-16 11:40:23.432 -0300,7.4
683,"1","1000219060",EYU3702,2026-08-11,CÂNDIDO MOTA,EYU3702,,100.0,100.0,100.0,Finalizado,7613.986000000001,1000000.0,1.0,,1073,936,0,0,CONFERENTE / SUPERVISOR ,99.40,0,0,0,,,,,,,,,,,8.87,7.68,2026-08-16 11:40:23.432 -0300,2026-08-16 11:40:23.432 -0300,99.4
472,"1","1000190128",EYU3363,2026-01-27,CÂNDIDO MOTA,EYU3363,,100.0,100.0,100.0,Finalizado,3616.2600000000016,1000000.0,0.0,,722,696,0,0,CONFERENTE / SUPERVISOR ,14.18,0,0,0,,,,,,,,,,,6.11,6.83,2026-08-16 11:40:23.432 -0300,2026-08-16 11:40:23.432 -0300,14.18
686,"1","1000219063",EYU3376,2026-08-11,CÂNDIDO MOTA,EYU3376,,100.0,100.0,100.0,Finalizado,7271.470000000002,1000000.0,1.0,,728,681,0,0,CONFERENTE / SUPERVISOR ,114.32,0,0,0,,,,,,,,,,,5.72,7.68,2026-08-16 11:40:23.432 -0300,2026-08-16 11:40:23.432 -0300,114.32
477,"1","1000190372",EYU3371,2026-01-28,CÂNDIDO MOTA,EYU3371,,100.0,100.0,100.0,Finalizado,3390.7300000000027,1000000.0,0.0,,643,585,0,0,CONFERENTE / SUPERVISOR ,126.88,0,0,0,,,,,,,,,,,7.03,6.32,2026-08-16 11:40:23.432 -0300,2026-08-16 11:40:23.432 -0300,126.88
478,"1","1000190373",EYU3372,2026-01-28,CÂNDIDO MOTA,EYU3372,,100.0,100.0,100.0,Finalizado,3258.729999999998,1000000.0,0.0,,631,619,0,0,CONFERENTE / SUPERVISOR ,46.42,0,0,0,,,,,,,,,,,6.51,6.32,2026-08-16 11:40:23.432 -0300,2026-08-16 11:40:23.432 -0300,46.42
611,"1","1000194386",DBC8719,2026-02-24,CÂNDIDO MOTA,DBC8719,,100.0,100.0,100.0,Finalizado,5735.080000000002,1000000.0,1.0,,635,601,0,0,CONFERENTE / SUPERVISOR ,48.42,0,0,0,,,,,,,,,,,4.81,5.65,2026-08-16 11:40:23.432 -0300,2026-08-16 11:40:23.432 -0300,48.42
434,"1",CPJ1398,CPJ1398,2026-01-23,CÂNDIDO MOTA,CPJ1398,,100.0,100.0,100.0,Finalizado,2477.32,1000000.0,0.0,,478,478,0,0,CONFERENTE / SUPERVISOR ,10.50,0,0,0,,,,,,,,,,,4.70,4.78,2026-08-16 11:40:23.432 -0300,2026-08-16 11:40:23.432 -0300,10.5
422,"1","1000189442",CPJ1393,2026-01-22,CÂNDIDO MOTA,CPJ1393,,100.0,100.0,100.0,Finalizado,3252.6400000000012,1000000.0,0.0,,598,598,0,0,CONFERENTE / SUPERVISOR ,12.82,0,0,0,,,,,,,,,,,5.19,9.30,2026-08-16 11:40:23.432 -0300,2026-08-16 11:40:23.432 -0300,12.82
474,"1","1000190133",EYU3705,2026-01-27,CÂNDIDO MOTA,EYU3705,,100.0,100.0,100.0,Finalizado,4465.720000000001,1000000.0,0.0,,925,891,0,0,CONFERENTE / SUPERVISOR ,72.83,0,0,0,,,,,,,,,,,5.54,6.83,2026-08-16 11:40:23.432 -0300,2026-08-16 11:40:23.432 -0300,72.83
518,"1","190594",EYU3363,2026-01-29,CÂNDIDO MOTA,EYU3363,,100.0,100.0,100.0,Finalizado,4410.769999999999,1000000.0,0.0,,799,756,0,0,CONFERENTE / SUPERVISOR ,20.02,0,0,0,,,,,,,,,,,3.66,5.50,2026-08-16 11:40:23.432 -0300,2026-08-16 11:40:23.432 -0300,20.02
425,"1","1000189444",EYU3360,2026-01-22,CÂNDIDO MOTA,EYU3360,,100.0,100.0,100.0,Finalizado,3961.389999999998,1000000.0,0.0,,822,822,0,0,CONFERENTE / SUPERVISOR ,15.45,0,0,0,,,,,,,,,,,6.71,9.30,2026-08-16 11:40:23.432 -0300,2026-08-16 11:40:23.432 -0300,15.45
559,"1","1000191692",EYU3372,2026-02-04,CÂNDIDO MOTA,EYU3372,,100.0,100.0,100.0,Finalizado,5608.440000000001,1000000.0,1.0,,582,524,0,0,CONFERENTE / SUPERVISOR ,45.30,0,0,0,,,,,,,,,,,4.34,6.42,2026-08-16 11:40:23.432 -0300,2026-08-16 11:40:23.432 -0300,45.3
